t,F_left_N,F_right_N,slip_mm,left_grip,right_grip
0.000,1.85,1.72,0.35,1,1
0.034,3.52,4.11,0.39,1,1
0.068,0.60,1.77,0.30,1,1
0.100,1.33,2.22,0.18,1,1
0.134,1.40,2.13,0.11,1,1
0.168,1.40,2.20,0.22,1,1
0.200,1.59,2.22,0.37,1,1
0.234,1.77,2.26,0.50,1,1
0.268,1.89,2.28,0.60,1,1
0.300,2.02,2.37,0.68,1,1
0.334,2.16,2.26,0.75,1,1
0.368,2.36,2.17,0.83,1,1
0.400,2.54,2.07,0.90,1,1
0.434,2.64,2.16,0.95,1,1
0.468,2.78,2.25,0.98,1,1
0.500,2.90,2.20,1.01,1,1
0.534,3.01,2.12,1.04,1,1
0.568,3.10,2.07,1.05,1,1
0.600,3.17,2.01,1.05,1,1
0.634,3.20,1.94,1.04,1,1
0.668,3.16,1.90,1.00,1,1
0.700,3.12,1.85,0.97,1,1
0.734,3.10,1.71,0.93,1,1
0.768,3.16,1.53,0.89,1,1
0.800,3.25,1.33,0.84,1,1
0.834,3.05,1.33,0.77,1,1
0.868,2.87,1.37,0.69,1,1
0.900,2.79,1.34,0.62,1,1
0.934,2.85,1.15,0.55,1,1
0.968,2.84,1.06,0.47,1,1
1.000,2.71,1.07,0.38,1,1
1.034,2.57,1.06,0.28,1,1
1.068,2.51,1.03,0.20,1,1
1.100,2.56,1.08,0.14,1,1
1.134,2.35,1.14,0.09,1,1
1.168,2.07,1.33,0.11,1,1
1.200,1.82,1.64,0.18,1,1
1.234,1.76,1.54,0.24,1,1
1.268,1.71,1.66,0.30,1,1
1.300,1.67,1.77,0.37,1,1
1.334,1.55,1.89,0.43,1,1
1.368,1.44,2.00,0.49,1,1
1.400,1.35,2.11,0.54,1,1
1.434,1.29,2.25,0.58,1,1
1.468,1.20,2.43,0.62,1,1
1.500,1.13,2.61,0.66,1,1
1.534,1.09,2.78,0.69,1,1
1.568,1.19,2.94,0.71,1,1
1.600,1.21,3.05,0.72,1,1
1.634,1.30,3.22,0.73,1,1
1.668,1.48,3.46,0.73,1,1
1.700,1.74,3.67,0.73,1,1
1.734,1.93,3.84,0.73,1,1
1.768,2.14,4.03,0.72,1,1
1.800,2.23,4.19,0.71,1,1
1.834,2.38,4.34,0.69,1,1
1.868,2.41,4.31,0.67,1,1
1.900,1.96,3.83,0.65,1,1
1.934,1.51,3.59,0.61,1,1
1.968,1.26,3.66,0.60,1,1
2.000,1.22,3.44,0.57,1,1
2.034,1.04,2.75,0.55,1,1
2.068,0.94,2.28,0.54,1,1
2.100,0.94,2.19,0.54,1,1
2.134,1.11,2.30,0.56,1,1
2.168,1.26,2.16,0.60,1,1
2.200,1.31,1.84,0.65,1,1
2.234,1.39,1.73,0.73,1,1
2.268,1.64,1.69,0.83,1,1
2.300,1.31,0.68,0.87,1,1
2.334,3.00,3.43,0.79,1,1
2.368,1.62,1.77,0.41,1,1
2.400,1.60,1.76,0.41,1,1
2.434,1.60,1.76,0.41,1,1
2.468,1.60,1.76,0.41,1,1
2.500,1.60,1.76,0.41,1,1
2.534,1.60,1.76,0.41,1,1
2.568,1.60,1.76,0.41,1,1
2.600,1.60,1.76,0.41,1,1
2.634,1.60,1.76,0.41,1,1
2.668,1.60,1.76,0.41,1,1
2.700,1.60,1.76,0.41,1,1
2.734,1.60,1.76,0.41,1,1
2.768,1.60,1.76,0.41,1,1
2.800,1.60,1.76,0.41,1,1
2.834,1.60,1.76,0.41,1,1
2.868,1.60,1.76,0.41,1,1
2.900,1.60,1.76,0.41,1,1
2.934,1.60,1.76,0.41,1,1
2.968,1.60,1.76,0.41,1,1
3.000,1.60,1.76,0.41,1,1
3.034,1.60,1.76,0.41,1,1
3.068,1.60,1.76,0.41,1,1
3.100,1.60,1.76,0.41,1,1
3.134,1.60,1.76,0.41,1,1
3.168,1.60,1.76,0.41,1,1
3.200,1.60,1.76,0.41,1,1
3.234,1.60,1.76,0.41,1,1
3.268,1.60,1.76,0.41,1,1
3.300,1.60,1.76,0.41,1,1
3.334,1.60,1.76,0.41,1,1
3.368,1.60,1.76,0.41,1,1
3.400,1.60,1.76,0.41,1,1
3.434,1.60,1.76,0.41,1,1
3.468,1.60,1.76,0.41,1,1
3.500,1.60,1.76,0.41,1,1
3.534,1.60,1.76,0.41,1,1
3.568,1.60,1.76,0.41,1,1
3.600,1.60,1.76,0.41,1,1
3.634,1.60,1.76,0.41,1,1
3.668,1.60,1.76,0.41,1,1
3.700,1.60,1.76,0.41,1,1
3.734,1.60,1.76,0.41,1,1
3.768,1.60,1.76,0.41,1,1
3.800,1.60,1.76,0.41,1,1
3.834,1.60,1.76,0.41,1,1
3.868,1.60,1.76,0.41,1,1
