t,F_left_N,F_right_N,slip_mm,left_grip,right_grip
0.000,1.85,1.72,0.35,1,1
0.034,1.47,1.75,0.16,1,1
0.068,1.35,1.68,0.16,1,1
0.100,1.51,1.80,0.21,1,1
0.134,1.53,1.83,0.25,1,1
0.168,1.57,1.84,0.31,1,1
0.200,1.62,1.87,0.36,1,1
0.234,1.70,1.92,0.42,1,1
0.268,1.74,1.97,0.47,1,1
0.300,1.81,2.03,0.51,1,1
0.334,1.88,2.08,0.55,1,1
0.368,1.97,2.09,0.58,1,1
0.400,2.03,2.08,0.62,1,1
0.434,2.14,2.09,0.66,1,1
0.468,2.23,2.07,0.70,1,1
0.500,2.30,2.03,0.73,1,1
0.534,2.41,2.02,0.77,1,1
0.568,2.50,1.97,0.81,1,1
0.600,2.61,1.97,0.84,1,1
0.634,2.68,1.92,0.87,1,1
0.668,2.77,1.92,0.89,1,1
0.700,2.81,1.88,0.91,1,1
0.734,2.88,1.87,0.92,1,1
0.768,2.87,1.80,0.92,1,1
0.800,2.88,1.76,0.91,1,1
0.834,2.87,1.68,0.90,1,1
0.868,2.85,1.62,0.88,1,1
0.900,2.83,1.52,0.85,1,1
0.934,2.81,1.45,0.81,1,1
0.968,2.78,1.37,0.76,1,1
1.000,2.74,1.31,0.71,1,1
1.034,2.71,1.23,0.64,1,1
1.068,2.65,1.20,0.57,1,1
1.100,2.61,1.16,0.49,1,1
1.134,2.53,1.17,0.41,1,1
1.168,2.44,1.21,0.32,1,1
1.200,2.36,1.27,0.24,1,1
1.234,2.26,1.33,0.16,1,1
1.268,2.17,1.41,0.11,1,1
1.300,2.07,1.52,0.13,1,1
1.334,1.97,1.61,0.20,1,1
1.368,1.89,1.70,0.28,1,1
1.400,1.78,1.79,0.38,1,1
1.434,1.69,1.88,0.47,1,1
1.468,1.57,2.00,0.55,1,1
1.500,1.50,2.08,0.62,1,1
1.534,1.38,2.21,0.70,1,1
1.568,1.31,2.33,0.75,1,1
1.600,1.25,2.46,0.79,1,1
1.634,1.24,2.62,0.81,1,1
1.668,1.28,2.76,0.81,1,1
1.700,1.35,2.90,0.80,1,1
1.734,1.52,3.07,0.77,1,1
1.768,1.65,3.22,0.74,1,1
1.800,1.71,3.33,0.71,1,1
1.834,1.90,3.48,0.67,1,1
1.868,1.95,3.56,0.63,1,1
1.900,1.87,3.55,0.60,1,1
1.934,1.83,3.52,0.58,1,1
1.968,1.78,3.51,0.54,1,1
2.000,1.69,3.42,0.52,1,1
2.034,1.41,3.15,0.50,1,1
2.068,1.19,2.96,0.49,1,1
2.100,1.10,2.86,0.49,1,1
2.134,1.05,2.78,0.48,1,1
2.168,1.06,2.68,0.48,1,1
2.200,1.09,2.61,0.47,1,1
2.234,1.13,2.51,0.47,1,1
2.268,1.17,2.42,0.46,1,1
2.300,1.20,2.31,0.46,1,1
2.334,1.25,2.22,0.47,1,1
2.368,1.29,2.14,0.48,1,1
2.400,1.36,2.06,0.51,1,1
2.434,1.43,2.02,0.53,1,1
2.468,1.48,1.97,0.55,1,1
2.500,1.55,1.93,0.56,1,1
2.534,1.66,1.94,0.55,1,1
2.568,1.59,1.78,0.46,1,1
2.600,1.60,1.77,0.40,1,1
2.634,1.60,1.77,0.40,1,1
2.668,1.60,1.77,0.40,1,1
2.700,1.60,1.77,0.40,1,1
2.734,1.60,1.77,0.40,1,1
2.768,1.60,1.77,0.40,1,1
2.800,1.60,1.77,0.40,1,1
2.834,1.60,1.77,0.40,1,1
2.868,1.60,1.77,0.40,1,1
2.900,1.60,1.77,0.40,1,1
2.934,1.60,1.77,0.40,1,1
2.968,1.60,1.77,0.40,1,1
3.000,1.60,1.77,0.40,1,1
3.034,1.60,1.77,0.40,1,1
3.068,1.60,1.77,0.40,1,1
3.100,1.60,1.77,0.40,1,1
3.134,1.60,1.77,0.40,1,1
3.168,1.60,1.77,0.40,1,1
3.200,1.60,1.77,0.40,1,1
3.234,1.60,1.77,0.40,1,1
3.268,1.60,1.77,0.40,1,1
3.300,1.60,1.77,0.40,1,1
3.334,1.60,1.77,0.40,1,1
3.368,1.60,1.77,0.40,1,1
3.400,1.60,1.77,0.40,1,1
3.434,1.60,1.77,0.40,1,1
3.468,1.60,1.77,0.40,1,1
3.500,1.60,1.77,0.40,1,1
3.534,1.60,1.77,0.40,1,1
3.568,1.60,1.77,0.40,1,1
3.600,1.60,1.77,0.40,1,1
3.634,1.60,1.77,0.40,1,1
3.668,1.60,1.77,0.40,1,1
3.700,1.60,1.77,0.40,1,1
3.734,1.60,1.77,0.40,1,1
3.768,1.60,1.77,0.40,1,1
3.800,1.60,1.77,0.40,1,1
3.834,1.60,1.77,0.40,1,1
3.868,1.60,1.77,0.40,1,1
3.900,1.60,1.77,0.40,1,1
3.934,1.60,1.77,0.40,1,1
3.968,1.60,1.77,0.40,1,1
4.000,1.60,1.77,0.40,1,1
4.034,1.60,1.77,0.40,1,1
