t,F_left_N,F_right_N,slip_mm,left_grip,right_grip
0.000,1.85,1.72,0.35,1,1
0.034,1.67,1.42,0.34,1,1
0.068,3.59,4.45,0.34,1,1
0.100,1.54,2.05,0.11,1,1
0.134,1.10,1.75,0.08,1,1
0.168,1.09,1.71,0.16,1,1
0.200,1.53,2.13,0.28,1,1
0.234,1.20,2.01,0.30,1,1
0.268,1.33,2.17,0.34,1,1
0.300,1.23,2.32,0.33,1,1
0.334,1.15,2.22,0.30,1,1
0.368,1.13,2.29,0.32,1,1
0.400,1.15,2.34,0.34,1,1
0.434,1.21,2.37,0.36,1,1
0.468,1.25,2.39,0.38,1,1
0.500,1.28,2.43,0.39,1,1
0.534,1.33,2.13,0.41,1,1
0.568,1.37,2.29,0.42,1,1
0.600,1.49,1.89,0.49,1,1
0.634,1.31,1.52,0.54,1,1
0.668,1.80,2.06,0.65,1,1
0.700,1.41,1.16,0.64,1,1
0.734,1.81,1.78,0.71,1,1
0.768,1.83,1.85,0.71,1,1
0.800,1.82,1.74,0.69,1,1
0.834,1.79,1.63,0.68,1,1
0.868,1.82,1.66,0.67,1,1
0.900,1.79,1.72,0.62,1,1
0.934,1.85,1.79,0.61,1,1
0.968,1.77,1.73,0.55,1,1
1.000,1.78,1.81,0.54,1,1
1.034,1.78,1.72,0.50,1,1
1.068,1.78,1.83,0.48,1,1
1.100,1.74,1.78,0.46,1,1
1.134,1.76,1.84,0.46,1,1
1.168,1.86,1.87,0.46,1,1
1.200,1.71,1.84,0.45,1,1
1.234,1.87,1.77,0.45,1,1
1.268,1.81,1.77,0.44,1,1
1.300,1.88,1.77,0.43,1,1
1.334,1.95,1.53,0.43,1,1
1.368,1.77,1.91,0.42,1,1
1.400,1.82,1.57,0.42,1,1
1.434,1.64,2.15,0.43,1,1
1.468,1.55,1.84,0.43,1,1
1.500,1.55,2.06,0.44,1,1
1.534,1.51,2.17,0.44,1,1
1.568,1.53,2.20,0.45,1,1
1.600,1.47,2.08,0.43,1,1
1.634,1.52,2.36,0.43,1,1
1.668,1.45,2.11,0.40,1,1
1.700,1.48,2.27,0.40,1,1
1.734,1.41,2.18,0.39,1,1
1.768,1.36,2.12,0.39,1,1
1.800,1.35,2.08,0.40,1,1
1.834,1.34,2.19,0.40,1,1
1.868,1.24,2.01,0.40,1,1
1.900,1.36,2.17,0.42,1,1
1.934,1.32,2.20,0.40,1,1
1.968,1.30,2.18,0.38,1,1
2.000,1.28,2.17,0.37,1,1
2.034,1.32,2.25,0.37,1,1
2.068,1.29,2.15,0.33,1,1
2.100,1.18,1.83,0.33,1,1
2.134,1.40,2.25,0.35,1,1
2.168,1.31,2.13,0.33,1,1
2.200,1.37,2.17,0.33,1,1
2.234,1.44,2.19,0.31,1,1
2.268,1.44,2.10,0.31,1,1
2.300,1.43,2.11,0.28,1,1
2.334,1.54,2.38,0.27,1,1
2.368,1.42,2.06,0.25,1,1
2.400,1.52,1.87,0.25,1,1
2.434,1.54,2.23,0.26,1,1
2.468,1.69,2.21,0.28,1,1
2.500,1.58,2.17,0.29,1,1
2.534,1.58,2.06,0.34,1,1
2.568,1.68,2.20,0.36,1,1
2.600,1.70,2.36,0.40,1,1
2.634,1.65,2.24,0.40,1,1
2.668,1.79,2.21,0.45,1,1
2.700,1.56,2.58,0.36,1,1
2.734,1.59,3.02,0.34,1,1
2.768,1.24,2.51,0.31,1,1
2.800,3.20,4.35,0.37,1,1
2.834,0.50,2.33,0.43,1,1
2.868,2.73,4.31,0.42,1,1
2.900,6.54,13.22,0.62,1,1
2.934,2.72,27.06,0.23,1,0
2.968,3.43,27.06,0.82,1,0
3.000,3.49,27.06,1.08,1,0
3.034,3.06,27.06,0.85,1,0
3.068,3.06,27.06,0.61,1,0
3.100,4.07,27.06,0.82,1,0
3.134,3.11,27.06,0.59,1,0
3.168,2.17,27.06,0.84,1,0
3.200,2.76,27.06,1.48,1,0
3.234,4.56,27.06,1.71,1,0
3.268,2.79,27.06,2.10,1,0
3.300,3.29,27.06,2.11,1,0
3.334,3.46,27.06,2.55,1,0
3.368,3.49,27.06,2.36,1,0
3.400,3.56,27.06,2.57,1,0
3.434,3.28,27.06,2.34,1,0
3.468,3.79,27.06,2.66,1,0
3.500,3.02,27.06,2.28,1,0
3.534,3.11,27.06,2.19,1,0
3.568,6.70,27.06,3.30,1,0
3.600,4.55,27.06,4.36,1,0
3.634,2.56,27.06,2.15,1,0
3.668,3.23,27.06,1.66,1,0
3.700,3.46,27.06,2.18,1,0
3.734,3.41,27.06,2.51,1,0
3.768,3.39,27.06,2.43,1,0
3.800,3.30,27.06,2.17,1,0
3.834,3.27,27.06,2.11,1,0
3.868,3.36,27.06,2.26,1,0
3.900,3.38,27.06,2.33,1,0
3.934,3.33,27.06,2.26,1,0
3.968,3.31,27.06,2.20,1,0
4.000,3.33,27.06,2.23,1,0
4.034,3.35,27.06,2.26,1,0
4.068,3.34,27.06,2.26,1,0
4.100,3.33,27.06,2.24,1,0
4.134,3.33,27.06,2.24,1,0
4.168,3.34,27.06,2.25,1,0
4.200,3.34,27.06,2.25,1,0
4.234,3.34,27.06,2.25,1,0
4.268,3.33,27.06,2.24,1,0
4.300,3.34,27.06,2.25,1,0
4.334,3.34,27.06,2.25,1,0
4.368,3.34,27.06,2.25,1,0
4.400,3.34,27.06,2.25,1,0
4.434,3.34,27.06,2.25,1,0
4.468,3.34,27.06,2.25,1,0
4.500,3.34,27.06,2.25,1,0
4.534,3.34,27.06,2.25,1,0
4.568,3.34,27.06,2.25,1,0
4.600,3.34,27.06,2.25,1,0
4.634,3.34,27.06,2.25,1,0
4.668,3.34,27.06,2.25,1,0
4.700,3.34,27.06,2.25,1,0
4.734,3.34,27.06,2.25,1,0
4.768,3.34,27.06,2.25,1,0
4.800,3.34,27.06,2.25,1,0
4.834,3.34,27.06,2.25,1,0
4.868,3.34,27.06,2.25,1,0
4.900,3.34,27.06,2.25,1,0
4.934,3.34,27.06,2.25,1,0
4.968,3.34,27.06,2.25,1,0
5.000,3.34,27.06,2.25,1,0
5.034,3.34,27.06,2.25,1,0
5.068,3.34,27.06,2.25,1,0
5.100,3.34,27.06,2.25,1,0
5.134,3.34,27.06,2.25,1,0
